AUTHOR:DGP
MODEL: 1
KEYWORDS: machine learning
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.370691622917	0.27	0.997641509434
bpo	NK	full	 | 0.370297180208	0.27	0.997641509434
bpo	LK	partial	 | 0.435885267058	0.28	0.733024691358
bpo	LK	full	 | 0.370320166118	0.26	0.733024691358
bpo	All	partial	 | 0.40517232979	0.27	0.837686567164
bpo	All	full	 | 0.371187030772	0.27	0.837686567164
cco	NK	partial	 | 0.493863878519	0.36	1.0
cco	NK	full	 | 0.493863878519	0.36	1.0
cco	LK	partial	 | 0.449237601611	0.4	1.0
cco	LK	full	 | 0.449237601611	0.4	1.0
cco	All	partial	 | 0.473723922226	0.35	1.0
cco	All	full	 | 0.473723922226	0.35	1.0
mfo	NK	partial	 | 0.601682609197	0.21	0.997797356828
mfo	NK	full	 | 0.600962313235	0.21	0.997797356828
mfo	LK	partial	 | 0.540807868089	0.25	0.990726429675
mfo	LK	full	 | 0.538401489891	0.25	0.990726429675
mfo	All	partial	 | 0.569692940039	0.21	0.993642143506
mfo	All	full	 | 0.567950707302	0.21	0.993642143506
