AUTHOR:PANNZER2
MODEL: 1
KEYWORDS: machine learning
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.297980716755	0.5	0.91391509434
bpo	NK	full	 | 0.286800338887	0.5	0.91391509434
bpo	LK	partial	 | 0.289298538116	0.6	0.936728395062
bpo	LK	full	 | 0.283910489362	0.6	0.936728395062
bpo	All	partial	 | 0.306105597202	0.55	0.927705223881
bpo	All	full	 | 0.298218536827	0.55	0.927705223881
cco	NK	partial	 | 0.390191956376	0.45	0.921752738654
cco	NK	full	 | 0.375706039901	0.45	0.921752738654
cco	LK	partial	 | 0.394378092554	0.44	0.910480349345
cco	LK	full	 | 0.377335289106	0.44	0.910480349345
cco	All	partial	 | 0.389775898465	0.45	0.917046490428
cco	All	full	 | 0.373984147687	0.45	0.917046490428
mfo	NK	partial	 | 0.381531233943	0.45	0.95154185022
mfo	NK	full	 | 0.372742789117	0.45	0.95154185022
mfo	LK	partial	 | 0.463558323515	0.48	0.942812982998
mfo	LK	full	 | 0.450920998772	0.48	0.942812982998
mfo	All	partial	 | 0.428364162297	0.46	0.946412352407
mfo	All	full	 | 0.417551676365	0.46	0.946412352407
