AUTHOR:DGP
MODEL: 1
KEYWORDS: machine learning
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.150104239055	0.21	0.996462264151
bpo	NK	full	 | 0.149791955617	0.21	0.996462264151
bpo	LK	partial	 | 0.246103815574	0.21	0.729938271605
bpo	LK	full	 | 0.203523163485	0.17	0.729938271605
bpo	All	partial	 | 0.1970669504	0.21	0.835354477612
bpo	All	full	 | 0.17634502924	0.21	0.835354477612
cco	NK	partial	 | 0.280875105475	0.32	1.0
cco	NK	full	 | 0.280875105475	0.32	1.0
cco	LK	partial	 | 0.294850018964	0.21	1.0
cco	LK	full	 | 0.294850018964	0.21	1.0
cco	All	partial	 | 0.283704970148	0.25	1.0
cco	All	full	 | 0.283704970148	0.25	1.0
mfo	NK	partial	 | 0.265453373336	0.14	0.962555066079
mfo	NK	full	 | 0.259652696934	0.14	0.962555066079
mfo	LK	partial	 | 0.360093796164	0.13	0.891808346213
mfo	LK	full	 | 0.338127233444	0.13	0.891808346213
mfo	All	partial	 | 0.317379444598	0.14	0.920980926431
mfo	All	full	 | 0.302666032579	0.14	0.920980926431
