AUTHOR:INGA-Tosatto
MODEL: 1
KEYWORDS: sequence alignment
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.141909155642	0.57	0.996462264151
bpo	NK	full	 | 0.141601585823	0.57	0.996462264151
bpo	LK	partial	 | 0.279755229627	0.59	1.0
bpo	LK	full	 | 0.279755229627	0.59	1.0
bpo	All	partial	 | 0.255589098905	0.59	0.998600746269
bpo	All	full	 | 0.255419092822	0.59	0.998600746269
cco	NK	partial	 | 0.283772302464	0.63	0.995305164319
cco	NK	full	 | 0.283050847458	0.63	0.995305164319
cco	LK	partial	 | 0.312820095927	0.6	0.984716157205
cco	LK	full	 | 0.310522918012	0.6	0.984716157205
cco	All	partial	 | 0.293214535547	0.6	0.990884229717
cco	All	full	 | 0.292031828682	0.6	0.990884229717
mfo	NK	partial	 | 0.247987837596	0.52	0.997797356828
mfo	NK	full	 | 0.247661151673	0.52	0.997797356828
mfo	LK	partial	 | 0.368928171481	0.6	0.998454404946
mfo	LK	full	 | 0.368572211606	0.6	0.998454404946
mfo	All	partial	 | 0.316914383982	0.6	0.998183469573
mfo	All	full	 | 0.316525579683	0.6	0.998183469573
