AUTHOR:PFP
MODEL: 1
KEYWORDS: machine learning
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.156028368794	0.82	0.997641509434
bpo	NK	full	 | 0.155807365439	0.82	0.997641509434
bpo	LK	partial	 | 0.424067747189	0.97	1.0
bpo	LK	full	 | 0.424067747189	0.97	1.0
bpo	All	partial	 | 0.322324774785	0.96	0.999067164179
bpo	All	full	 | 0.322142927768	0.96	0.999067164179
cco	NK	partial	 | 0.284520476757	0.73	0.998435054773
cco	NK	full	 | 0.284259581043	0.73	0.998435054773
cco	LK	partial	 | 0.298007544099	0.69	1.0
cco	LK	full	 | 0.298007544099	0.69	1.0
cco	All	partial	 | 0.288030092696	0.73	0.999088422972
cco	All	full	 | 0.287875397216	0.73	0.999088422972
mfo	NK	partial	 | 0.218263221714	0.94	0.997797356828
mfo	NK	full	 | 0.217958271237	0.94	0.997797356828
mfo	LK	partial	 | 0.358917955197	1.0	1.0
mfo	LK	full	 | 0.358917955197	1.0	1.0
mfo	All	partial	 | 0.296179685417	0.98	0.999091734787
mfo	All	full	 | 0.296016722332	0.98	0.999091734787
